"","Z","PDF","CDF"
"299",-1.52,0.125664636789088,0.0642554878189358
"300",-1.51,0.127582950572142,0.0655217120889165
"301",-1.5,0.129517595665892,0.0668072012688581
"302",-1.49,0.131468429872231,0.0681121179667255
"303",-1.48,0.133435303951002,0.0694366233333317
"304",-1.47,0.135418061574071,0.0707808769916856
"305",-1.46,0.137416539282282,0.0721450369658938
"306",-1.45,0.13943056644536,0.0735292596096484
"307",-1.44,0.141459965224839,0.0749336995343271
"308",-1.43,0.143504550540062,0.0763585095367391
"309",-1.42,0.145564130037348,0.0778038405265464
"310",-1.41,0.147638504062356,0.0792698414533924
"311",-1.4,0.149727465635745,0.0807566592337711
"312",-1.39,0.151830800432162,0.0822644386776689
"313",-1.38,0.153948286762634,0.0837933224150143
"314",-1.37,0.156079695560421,0.085343450821967
"315",-1.36,0.158224790370383,0.086914961947085
"316",-1.35,0.16038332734192,0.088507991437402
"317",-1.34,0.162555055225534,0.0901226724644525
"318",-1.33,0.164739715373077,0.0917591356502808
"319",-1.32,0.166937041741714,0.0934175089934718
"320",-1.31,0.169146760901672,0.095097917795239
"321",-1.3,0.171368592047807,0.0968004845856104
"322",-1.29,0.173602247015033,0.0985253290497478
"323",-1.28,0.175847430297662,0.100272567954442
"324",-1.27,0.178103839072694,0.102042315074819
"325",-1.26,0.18037116322708,0.1038346811213
"326",-1.25,0.182649085389022,0.105649773666855
"327",-1.24,0.184937280963305,0.107487697074587
"328",-1.23,0.18723541817073,0.109348552425692
"329",-1.22,0.18954315809164,0.111232437447835
"330",-1.21,0.191860154713599,0.113139446443977
"331",-1.2,0.194186054983213,0.115069670221708
"332",-1.19,0.196520498862137,0.117023196023109
"333",-1.18,0.198863119387276,0.119000107455201
"334",-1.17,0.201213542735197,0.121000484421018
"335",-1.16,0.203571388290759,0.123024403051343
"336",-1.15,0.205936268719975,0.12507193563715
"337",-1.14,0.208307790047108,0.127143150562798
"338",-1.13,0.210685551736015,0.129238112240018
"339",-1.12,0.213069146775718,0.131356881042731
"340",-1.11,0.21545816177022,0.133499513242747
"341",-1.1,0.217852177032551,0.135666060946383
"342",-1.09,0.220250766683033,0.137856572032035
"343",-1.08,0.222653498751761,0.140071090088769
"344",-1.07,0.22505993528527,0.142309654355939
"345",-1.06,0.227469632457386,0.14457229966391
"346",-1.05,0.229882140684233,0.146859056375896
"347",-1.04,0.232297004743366,0.149169950330981
"348",-1.03,0.234713763897012,0.151505002788344
"349",-1.02,0.23713195201938,0.153864230372735
"350",-1.01,0.239551097728013,0.156247645021255
"351",-1,0.241970724519143,0.158655253931457
"352",-0.99,0.244390350907,0.161087059510831
"353",-0.98,0.246809490567043,0.163543059327692
"354",-0.97,0.249227652483066,0.16602324606353
"355",-0.96,0.251644341098117,0.168527607466838
"356",-0.95,0.254059056469189,0.171056126308482
"357",-0.94,0.25647129442562,0.173608780338625
"358",-0.93,0.258880546731149,0.176185542245258
"359",-0.92,0.261286301249553,0.178786379614372
"360",-0.91,0.263688042113818,0.181411254891797
"361",-0.9,0.266085249898755,0.18406012534676
"362",-0.89,0.268477401797002,0.186732943037173
"363",-0.88,0.270863971798338,0.189429654776712
"364",-0.87,0.273244430872216,0.192150202103696
"365",-0.86,0.275618247153457,0.194894521251808
"366",-0.85,0.277984886130996,0.197662543122692
"367",-0.84,0.280343810839621,0.20045419326045
"368",-0.83,0.28269448205458,0.203269391828068
"369",-0.82,0.285036358489007,0.206108053585813
"370",-0.81,0.287368896994028,0.208970087871602
"371",-0.8,0.289691552761483,0.211855398583397
"372",-0.79,0.292003779529141,0.214763884163637
"373",-0.78,0.294305029788325,0.217695437585733
"374",-0.77,0.296594754993816,0.22064994634265
"375",-0.76,0.298872405775953,0.2236272924376
"376",-0.75,0.301137432154804,0.226627352376868
"377",-0.74,0.3033892837563,0.229649997164791
"378",-0.73,0.30562741003021,0.232695092300897
"379",-0.72,0.307851260469853,0.235762497779251
"380",-0.71,0.310060284833416,0.238852068089987
"381",-0.7,0.312253933366761,0.241963652223073
"382",-0.69,0.314431657027597,0.245097093674309
"383",-0.68,0.316592907710893,0.248252230453571
"384",-0.67,0.318737138475402,0.25142889509531
"385",-0.66,0.320863803771172,0.254626914671336
"386",-0.65,0.322972359667914,0.257846110805865
"387",-0.64,0.325062264084082,0.261086299692862
"388",-0.63,0.327132977016554,0.264347292115678
"389",-0.62,0.329183960770765,0.267628893468983
"390",-0.61,0.331214680191153,0.270930903783006
"391",-0.6,0.3332246028918,0.274253117750074
"392",-0.59,0.335213199487106,0.277595324753465
"393",-0.58,0.337179943822381,0.280957308898564
"394",-0.57,0.339124313204192,0.284338849046324
"395",-0.56,0.341045788630353,0.287739718849027
"396",-0.55,0.342943855019384,0.291159686788346
"397",-0.54,0.344818001439333,0.294598516215698
"398",-0.53,0.346667721335792,0.298055965394877
"399",-0.52,0.348492512758974,0.301531787546966
"400",-0.51,0.350291878589726,0.305025730897519
"401",-0.5,0.3520653267643,0.308537538725987
"402",-0.49,0.35381237049778,0.31206694941739
"403",-0.48,0.355532528505997,0.315613696516223
"404",-0.47,0.357225325225801,0.319177508782556
"405",-0.46,0.358890291033545,0.322758110250348
"406",-0.45,0.360526962461648,0.32635522028792
"407",-0.44,0.362134882413092,0.329968553660594
"408",-0.43,0.363713600373713,0.333597820595458
"409",-0.42,0.365262672622154,0.33724272684825
"410",-0.41,0.366781662437336,0.340902973772323
"411",-0.4,0.368270140303323,0.344578258389676
"412",-0.39,0.369727684111432,0.348268273464018
"413",-0.38,0.371153879359466,0.351972707575837
"414",-0.37,0.372548319347933,0.355691245199453
"415",-0.36,0.373910605373128,0.359423566782009
"416",-0.35,0.375240346916938,0.363169348824381
"417",-0.34,0.376537161833254,0.366928263963972
"418",-0.33,0.377800676530865,0.370699981059346
"419",-0.32,0.379030526152702,0.37448416527668
"420",-0.31,0.380226354751325,0.378280478177981
"421",-0.3,0.381387815460524,0.382088577811047
"422",-0.29,0.382514570662924,0.385908118801123
